RMC,CCC,Complexity
47,4.937710756,0.067097103
24,5.05662298,0.070452707
57.5,5.052550706,0.071216706
27.5,4.942765023,0.067097103
45.5,4.949414334,0.067696318
54,5.041439206,0.070497648
22,4.942764356,0.067052162
53,5.057003489,0.07097702
37.5,5.028252691,0.071231686
45.5,5.05218348,0.070287923
53,5.0523672,0.070917099
36.5,4.9999847,0.071231686
42.5,4.926115749,0.066752554
31.5,5.052429604,0.071201726
32,5.052541653,0.070887138
47.5,4.948917829,0.067501573
22,4.942783905,0.066752554
47.5,5.019915503,0.069898433
26,4.942403603,0.067127064
51.5,4.972888223,0.067426671
32.5,5.052424409,0.071036942
45,5.057113722,0.070242982
22,4.93793691,0.067037181
52,4.942901581,0.067306828
27,5.052061588,0.070617491
58,5.041013575,0.071246667
27,5.024251045,0.069898433
30.5,4.948731826,0.067741259
34.5,5.024677512,0.070452707
62,5.057001032,0.063471852
25.5,5.064319123,0.048176888
57,5.028628188,0.070872157
39,5.028643109,0.071246667
51,5.024638834,0.070213021
30,5.048329905,0.070647452
23.5,5.028691135,0.070033256
53.5,5.048267856,0.070302903
23,4.973259635,0.067261887
52.5,5.057126159,0.070932079
30.5,4.937799555,0.067022201
43.5,5.012907459,0.070048237
22,4.942764166,0.067037181
48.5,5.028381108,0.070782275
36.5,5.052396609,0.071351529
27,4.972898187,0.067546514
50.5,5.05228848,0.070737334
38.5,5.041249905,0.071306588
49.5,4.972890872,0.067456632
33,5.052282677,0.070692393
50.5,5.057006037,0.070617491
39,5.028391106,0.071171765
49,5.057126311,0.070617491
29.5,5.052388345,0.070782275
42.5,5.023945478,0.070123139
31,5.028623144,0.070647452
60.5,5.028570065,0.071066902
30.5,4.961851154,0.067816161
31,5.028701422,0.070392785
35.5,5.000002763,0.070932079
48.5,5.028500475,0.070527609
40.5,5.052194721,0.071201726
44.5,5.028587282,0.070347844
22.5,4.913238321,0.067022201
34.5,5.052424166,0.071231686
38,5.05294157,0.071246667
50,5.028561304,0.070767295
28,5.056850445,0.070662432
31,5.000106371,0.07055757
33,4.948734968,0.067576475
58,5.052442577,0.071516314
35.5,4.961775332,0.068115768
43,4.938084898,0.066812476
28,5.052412286,0.070692393
57,5.041248807,0.071336549
39,4.961614136,0.068130749
47.5,5.024342561,0.070452707
29,5.056855125,0.070542589
56,5.028220808,0.071036942
26,4.943174413,0.067157024
34,4.937848429,0.067906043
62,5.029099902,0.070992
32.5,5.028486869,0.071141804
49.5,5.028221566,0.070662432
33.5,5.052549977,0.071126824
58.5,5.0525446,0.071216706
27,5.028326705,0.070377805
50,5.029039918,0.070497648
23,5.029108498,0.070272942
24,5.02896667,0.070123139
24,5.056855125,0.070377805
59,5.057539702,0.071246667
34.5,5.020389673,0.070662432
44.5,4.995620444,0.06977859
25,4.978452585,0.067201965
47.5,5.024005039,0.070452707
30.5,5.028691135,0.070317884
63,5.024106794,0.071156785
22.5,4.94276388,0.067037181
54.5,5.028342213,0.071126824
29.5,5.041788122,0.07057255
28,5.04849033,0.070213021
48.5,5.028893767,0.070737334
32,5.041238536,0.070617491
39.5,4.978049261,0.06817569
57,5.000115787,0.070992
24.5,5.05677744,0.070317884
24,5.012887613,0.070347844
43.5,4.977670679,0.067411691
24,5.052806462,0.070617491
45,5.028693119,0.070242982
35,4.97818046,0.068085808
54,5.057115291,0.070782275
40,5.028493228,0.071321569
22,4.913470914,0.066872397
43.5,4.977779291,0.06736675
23,4.948864577,0.067201965
48,4.948866957,0.067531534
25,5.052560307,0.070242982
42.5,4.938344621,0.067037181
31.5,5.037332793,0.070752314
28,5.057401773,0.070797256
42.5,4.942755488,0.067037181
26,4.913119,0.067157024
38.5,5.057132651,0.071246667
55.5,4.999727482,0.07096204
30.5,4.942392922,0.067636396
51.5,5.052551557,0.070647452
22,4.937680987,0.066872397
42.5,4.942621183,0.066872397
26,4.926329366,0.067112083
45.5,5.052421279,0.07057255
26,4.937562577,0.067157024
50,5.02855932,0.070767295
34,5.023719311,0.07096204
57,5.056652131,0.071336549
27,5.006325899,0.070467687
52,4.961688755,0.068055847
152.5,5.040885535,0.070737334
62,5.028633295,0.071201726
23,5.023577043,0.070048237
42.5,5.028507691,0.071066902
49.5,5.023824735,0.070392785
49,5.056987927,0.070287923
49,5.05242055,0.07097702
49,5.056655043,0.071276628
49,4.961846979,0.068250592
46,4.996036972,0.069898433
47.5,5.057155037,0.070527609
49,5.057133106,0.070647452
49,5.056764639,0.07057255
49,5.05255098,0.07096204
49,5.028693102,0.070917099
49,5.024619694,0.070377805
49,5.01276489,0.07016808
49,5.012765074,0.070392785
49,5.008775879,0.070497648
42.5,4.937944619,0.066872397
43.5,5.052540863,0.070632471
53,5.052405147,0.071051922
45.5,5.052422039,0.070887138
57.5,5.013294983,0.07096204
43,4.942808723,0.067037181
