CCL,PLC,Attack Surface
73.83809524,40.33409786,1
73.5968254,40.33868502,1
73.5963925,40.33409786,1
73.55137085,40.33639144,1
73.5989899,40.33639144,1
73.53041847,40.33180428,1
73.5978355,40.33409786,1
73.5998557,40.33639144,1
73.59494949,40.33180428,1
76.13106782,42.76622419,1
76.13308802,42.76843658,1
73.76435786,40.33639144,1
73.5989899,40.33639144,1
76.13536075,42.76843658,1
73.60440115,40.33639144,1
73.5989899,40.33639144,1
73.6024531,40.33639144,1
73.5998557,40.33639144,1
73.58975469,40.3295107,1
73.59379509,40.33409786,1
73.64747475,40.33639144,1
76.14369408,42.77064897,1
76.13536075,42.76843658,1
73.59379509,40.33409786,1
73.61414141,40.34097859,1
73.5989899,40.33639144,1
73.5998557,40.33639144,1
73.60505051,40.33868502,1
73.62323232,40.33639144,1
73.60894661,40.33868502,1
73.84184704,40.33868502,1
76.12904762,42.7640118,1
73.55137085,40.33639144,1
73.5998557,40.33639144,1
73.55137085,40.33639144,1
76.13536075,42.76843658,1
73.53849928,40.33639144,1
76.13763348,42.77064897,1
73.5998557,40.33639144,1
73.5989899,40.33639144,1
73.83405483,40.33409786,1
76.13308802,42.76843658,1
73.5989899,40.33639144,1
73.81435786,40.33868502,1
73.75829726,40.33409786,1
73.72756133,40.33868502,1
73.59379509,40.33409786,1
73.61803752,40.33409786,1
73.5998557,40.33639144,1
73.68751804,40.33639144,1
73.59379509,40.33409786,1
73.84271284,40.33868502,1
73.53503608,40.33409786,1
76.13763348,42.77064897,1
73.54733045,40.33409786,1
73.66500722,40.33639144,1
73.71435786,40.33639144,1
76.13308802,42.76843658,1
73.84184704,40.33868502,1
73.83665224,40.33639144,1
73.83405483,40.33409786,1
76.13308802,42.76843658,1
73.6024531,40.33639144,1
73.5998557,40.33639144,1
73.62929293,40.33868502,1
73.76998557,40.33409786,1
73.5989899,40.33639144,1
73.58571429,40.33409786,1
73.6015873,40.33868502,1
73.59379509,40.33409786,1
73.84920635,40.33868502,1
73.53849928,40.33639144,1
73.53243867,40.33409786,1
76.10265512,42.68289086,1
73.79747475,40.33639144,1
76.13308802,42.76843658,1
73.5969697,40.33409786,1
73.83405483,40.33409786,1
76.14369408,42.77286136,1
73.60238095,40.33409786,1
73.59379509,40.33409786,1
76.10113997,42.68289086,1
76.13308802,42.76843658,1
73.54733045,40.33409786,1
73.53445887,40.33180428,1
73.79487734,40.33409786,1
73.83924964,40.33639144,1
73.6024531,40.33639144,1
73.54531025,40.33409786,1
76.13308802,42.76843658,1
73.5969697,40.33409786,1
73.59480519,40.33639144,1
73.54935065,40.33639144,1
73.83924964,40.33639144,1
73.5989899,40.33639144,1
73.53243867,40.33409786,1
76.13914863,42.77064897,1
73.53849928,40.33639144,1
73.83405483,40.33409786,1
73.53849928,40.33639144,1
76.1034127,42.68289086,1
73.55137085,40.33639144,1
76.13914863,42.77064897,1
73.66414141,40.33639144,1
73.59177489,40.33180428,1
76.13308802,42.76843658,1
73.5989899,40.33639144,1
76.13308802,42.76843658,1
73.5998557,40.33639144,1
76.10164502,42.68067847,1
73.5998557,40.33639144,1
73.59379509,40.33409786,1
73.59379509,40.33409786,1
76.13308802,42.76843658,1
76.09911977,42.68067847,1
76.13359307,42.76622419,1
76.10720058,42.68510324,1
73.66673882,40.33868502,1
73.84184704,40.33868502,1
73.59177489,40.33180428,1
73.5989899,40.33639144,1
73.69213564,40.33180428,1
76.13561328,42.76843658,1
73.60505051,40.33868502,1
73.53243867,40.33409786,1
73.58686869,40.33639144,1
73.5989899,40.33639144,1
76.13763348,42.77064897,1
73.54304473,40.33639144,1
73.5989899,40.33639144,1
73.59379509,40.33409786,1
73.83203463,40.33180428,1
73.83722944,40.33409786,1
73.59177489,40.33180428,1
76.13308802,42.76843658,1
73.67438672,40.33180428,1
73.59437229,40.33180428,1
73.84011544,40.33639144,1
76.13763348,42.77064897,1
76.10113997,42.68289086,1
73.55050505,40.33639144,1
73.83722944,40.33409786,1
76.137886,42.77064897,1
73.5998557,40.33639144,1
73.5978355,40.33409786,1
73.5998557,40.33639144,1
73.5998557,40.33639144,1
73.5998557,40.33639144,1
76.13308802,42.76843658,1
76.13308802,42.76843658,1
76.13763348,42.77064897,1
73.58282828,40.33180428,1
73.59494949,40.33180428,1
73.5989899,40.33639144,1
73.83261183,40.3295107,1
76.13763348,42.77064897,1
73.84011544,40.33639144,1
73.83924964,40.33639144,1
73.83520924,40.33180428,1
76.13763348,42.77064897,1
76.13308802,42.76843658,1
73.62121212,40.33409786,1
76.10113997,42.68289086,1
73.85180375,40.33868502,1
73.52545455,40.32721713,1
76.13561328,42.76843658,1
73.55454545,40.33868502,1
76.13359307,42.76622419,1
73.53900433,40.33180428,1
76.14142136,42.77064897,1
76.09911977,42.68067847,1
73.5969697,40.33409786,1
73.5963925,40.33409786,1
73.59177489,40.33180428,1
73.5989899,40.33639144,1
73.53763348,40.33639144,1
76.13308802,42.76843658,1
73.83722944,40.33409786,1
76.13763348,42.77064897,1
73.62323232,40.33639144,1
73.54444444,40.33180428,1
76.13561328,42.76843658,1
73.5989899,40.33639144,1
76.09911977,42.68067847,1
76.10113997,42.68289086,1
73.84011544,40.33639144,1
73.59379509,40.33409786,1
76.1624531,42.77949853,1
76.10391775,42.68289086,1
73.60505051,40.33868502,1
73.53821068,40.33639144,1
73.83722944,40.33409786,1
73.54444444,40.33180428,1
73.81746032,40.33180428,1
73.54304473,40.33639144,1
73.5989899,40.33639144,1
73.54759019,40.33868502,1
76.13308802,42.76843658,1
76.137886,42.77064897,1
73.5969697,40.33409786,1
73.85440115,40.34097859,1
76.1358658,42.76843658,1
76.13763348,42.77064897,1
73.58946609,40.33868502,1
76.1399062,42.77286136,1
73.55137085,40.33639144,1
73.81695527,40.33639144,1
76.13763348,42.77064897,1
