CCC,Execution Time
2.733126312,0
2.733517438,0
2.731461305,0
2.822420115,0
2.742955105,0
2.822656968,0
2.73380994,0
2.731775802,0
2.822551976,0
2.733517438,0
2.820930828,0
2.821035819,0
2.74309444,0
2.733235792,0
2.823878054,0
2.821221172,0
2.733828939,0
2.731543905,0
2.742955105,0
2.731775802,0
2.741979788,0
2.731647901,0
2.733517438,0
2.731907156,0
2.822420115,0
2.822710459,0
2.733407958,0
2.743756255,0
2.822605467,0
2.822656968,0
2.73350053,0
2.82281545,0
2.732134097,0
2.741957406,0
2.822656968,0
2.743129271,0
2.733517438,0
2.742743619,0
2.742955105,0
2.822210132,0
2.822393494,0
2.822446985,0
2.822656968,0
2.73350053,0
2.731494156,0
2.821035819,0
2.741519507,0
2.73311637,0
2.822656968,0
2.733517438,0
2.822709215,0
2.822498486,0
2.82281545,0
2.822551976,0
2.733709518,0
2.732296321,0
2.821035819,0
2.821035819,0
2.733517438,0
2.821035819,0
2.820825836,0
2.82111419,0
2.821035819,0
2.822446985,0
2.733616946,0
2.822420115,0
2.743019791,0
2.742845625,0
2.733328334,0
2.74309444,0
2.732639659,0
2.822420115,0
2.733126312,0
2.822498486,0
2.884907766,0
4.863815767,0
5.57607892,0
5.777114236,0
4.807857124,0
5.671035029,0
5.779232617,0
5.622321872,0
4.951626445,0
5.561727509,0
5.897020132,0
5.812485453,0
5.81588171,0
5.472577723,0
5.56174588,0
4.885826709,0
5.068462862,0
4.912427195,0
5.346188774,0
5.360049602,0
5.283796319,0
5.956820156,0
6.008610664,0
5.966934263,0
5.877888284,0
4.813941141,0
5.368807283,0
4.005532591,0
5.02381981,0
5.692186276,0
5.62301612,0
5.702735703,0
5.211289213,0
5.767371825,0
5.197722811,0
4.912961553,0
4.923753956,0
5.181457355,0
5.273058315,0
2.969900399,0
5.477607669,0
5.623779744,0
5.370721553,0
5.209935436,0
5.634855322,0
5.584428856,0
4.872138321,0
5.683922691,0
5.96276413,0
5.906271741,0
5.574748914,0
5.87049231,0
5.129671789,0
5.113540081,0
5.891350928,0
5.687928156,0
5.104369501,0
5.328887623,0
5.872829808,0
5.730670684,0
5.106914917,0
5.047938485,0
5.426202588,0
4.908308785,0
5.232153601,0
5.763260429,0
4.710071975,0
4.857553528,0
5.561278663,0
5.762455534,0
5.047890552,0
5.569194024,0
5.76389066,0
5.06293075,0
5.791098199,0
5.754305302,0
5.066413972,0
5.116484156,0
