RMC,CCC,Cyclomatic Complexity
59,5.052290789,0
27.5,5.028671292,0
47.5,4.999643014,0
27,5.028329147,0
61,5.023587347,0
39,4.973804392,0
51.5,4.937810156,0
33.5,4.913216466,0
43.5,5.028288211,0
41.5,5.052550372,0
42.5,4.926251165,0
35,5.05219302,0
42.5,4.937934017,0
36.5,5.028352501,0
43.5,4.978018206,0
26,5.052418879,0
47,4.937710756,0
24,5.05662298,0
57.5,5.052550706,0
27.5,4.942765023,0
45.5,4.949414334,0
54,5.041439206,0
22,4.942764356,0
53,5.057003489,0
37.5,5.028252691,0
45.5,5.05218348,0
53,5.0523672,0
36.5,4.9999847,0
42.5,4.926115749,0
31.5,5.052429604,0
32,5.052541653,0
47.5,4.948917829,0
22,4.942783905,0
47.5,5.019915503,0
26,4.942403603,0
51.5,4.972888223,0
32.5,5.052424409,0
45,5.057113722,0
22,4.93793691,0
52,4.942901581,0
27,5.052061588,0
58,5.041013575,0
27,5.024251045,0
30.5,4.948731826,0
34.5,5.024677512,0
62,5.057001032,0
25.5,5.064319123,0
57,5.028628188,0
39,5.028643109,0
51,5.024638834,0
30,5.048329905,0
23.5,5.028691135,0
53.5,5.048267856,0
23,4.973259635,0
52.5,5.057126159,0
30.5,4.937799555,0
43.5,5.012907459,0
22,4.942764166,0
48.5,5.028381108,0
36.5,5.052396609,0
27,4.972898187,0
50.5,5.05228848,0
38.5,5.041249905,0
49.5,4.972890872,0
33,5.052282677,0
50.5,5.057006037,0
39,5.028391106,0
49,5.057126311,0
29.5,5.052388345,0
42.5,5.023945478,0
31,5.028623144,0
60.5,5.028570065,0
30.5,4.961851154,0
31,5.028701422,0
35.5,5.000002763,0
48.5,5.028500475,0
40.5,5.052194721,0
44.5,5.028587282,0
22.5,4.913238321,0
34.5,5.052424166,0
38,5.05294157,0
50,5.028561304,0
28,5.056850445,0
31,5.000106371,0
33,4.948734968,0
58,5.052442577,0
35.5,4.961775332,0
43,4.938084898,0
28,5.052412286,0
57,5.041248807,0
39,4.961614136,0
47.5,5.024342561,0
29,5.056855125,0
56,5.028220808,0
26,4.943174413,0
34,4.937848429,0
62,5.029099902,0
32.5,5.028486869,0
49.5,5.028221566,0
33.5,5.052549977,0
