CCL,PLC
76.13763348,42.77064897
73.5989899,40.33639144
76.13914863,42.77064897
76.13536075,42.76843658
76.1399062,42.77286136
76.13561328,42.76843658
73.6015873,40.33868502
73.55310245,40.33868502
76.10113997,42.68289086
76.10113997,42.68289086
73.5989899,40.33639144
76.10113997,42.68289086
76.09709957,42.67846608
76.1034127,42.68289086
76.10113997,42.68289086
76.13359307,42.76622419
73.60909091,40.33409786
76.13308802,42.76843658
73.83780664,40.33409786
73.83520924,40.33180428
73.5958153,40.33180428
73.84011544,40.33639144
73.56305916,40.33868502
76.13308802,42.76843658
73.59177489,40.33180428
76.13536075,42.76843658
145.1527294,139.7196522
245.5729556,239.7979917
281.8251625,261.8604975
292.1272461,276.2344317
243.0940945,231.1095941
286.7244518,272.531143
292.1266257,274.2379177
284.2346553,274.3867683
250.2044407,237.4567432
281.1685399,271.1218567
298.1823052,275.1078431
293.9378873,278.5725287
294.0747712,278.8356512
276.6114055,267.0011697
281.1685399,271.3204618
246.6979771,239.6347022
256.0804093,243.6726657
248.1810798,244.0639777
270.1785559,253.4471726
270.9046866,257.9582747
267.0126165,251.0480042
301.1940008,275.7742669
303.8609146,278.2940582
301.7716652,283.4872475
297.2103586,276.3312777
243.0333608,239.8063709
271.3583099,259.8814392
202.1404919,209.1670414
253.8479376,243.6601426
287.7915308,269.9890342
284.3372786,271.1525973
288.36087,275.8870766
263.2898603,248.3452173
291.6374146,277.8959079
262.6264537,252.100771
248.2083616,244.0715174
248.700938,255.8535288
261.8786986,250.7963965
266.4530543,249.654167
149.42692,151.2653039
276.8850184,267.5391914
284.346821,269.8331143
271.3712057,254.7846082
263.2632059,248.0822556
284.8710613,271.2369193
282.291341,271.3820925
246.1047308,241.9570622
287.3317513,269.6000251
301.5451607,275.7958145
298.6429878,273.973428
281.8933478,268.7017131
296.8108995,275.7265778
259.2087536,243.666805
258.2862098,242.3488896
297.8682021,276.9000312
287.5512246,270.0211603
257.8837109,243.664365
269.3539514,258.6469031
296.9840003,282.1445288
289.7886462,274.2248645
257.9576046,242.344494
254.9965574,242.3443209
274.2891893,258.7898116
247.9041864,244.0539267
264.4054484,251.2815116
291.4237693,275.0639412
237.8705061,240.5234423
245.2583289,239.6368955
281.1112127,264.6678559
291.3501535,278.2815911
254.9941933,242.3488896
281.5735158,269.3103936
291.3529752,275.8453241
255.8241481,250.3000036
292.7419746,276.4989797
290.9849308,272.9860292
256.2567022,217.6148788
258.4353464,242.3257284
276.9249706,264.5829166
285.0704426,273.5804589
272.3745238,251.989036
291.1725997,275.4476201
283.4105529,270.6967895
288.6791625,276.571003
251.5651581,244.533505
259.3826487,245.6368911
247.4665467,240.9547485
256.3106612,249.7983859
284.1137072,272.995277
289.5588812,275.9698731
288.6346409,274.7381285
239.4259189,235.9002115
296.8858943,280.8485185
280.3009061,269.3731638
279.4909397,256.7280003
283.2503457,268.5477601
137.7332112,137.5146586
268.9345593,255.2616007
258.4518949,242.3467248
235.9939571,232.7557229
276.1302072,265.8162773
209.9121828,225.451285
284.3087613,255.6991049
251.746764,244.0060236
294.0084204,279.7431379
255.1596126,264.0463593
290.7560343,276.348362
286.8793171,274.1532293
274.1503572,257.9285902
301.0295271,276.0729621
281.8891026,266.4101056
258.710044,249.8040634
267.4935485,253.4749212
170.5783971,211.2200209
279.4858991,267.975271
280.7568831,272.4161076
210.3734316,226.0214237
292.3073531,273.6960311
279.4853841,256.8383449
292.1185201,280.0294844
254.1546002,245.1770938
284.6630543,274.4827667
284.6121415,271.4543448
282.2303154,271.0920446
287.9576192,273.7825652
289.2663114,275.4160776
264.2638502,251.8470035
285.430544,273.7254584
251.1473818,239.8879905
291.0422803,277.9703629
244.9996459,242.137716
249.4234695,253.7280441
271.9621456,257.4486735
282.5927684,267.4431486
134.7762114,135.1738886
256.9860332,251.2236288
243.9830455,238.9178762
283.7782093,268.8998754
269.7110681,272.2863221
285.704415,274.5576099
238.2704509,240.382577
295.7394503,272.7923805
287.3923177,272.3094164
276.036222,266.9626589
298.7979115,273.7764487
266.708843,253.8699537
286.6652581,273.087738
266.5020173,252.87776
276.6415721,261.6454141
287.3202808,272.1561802
251.744156,244.0423671
296.3985708,274.4098721
276.9249706,264.5829166
286.6636209,273.279444
276.8806738,265.9766199
249.5279685,240.330189
205.2663072,225.4494642
275.5861189,268.8592502
262.3143823,252.8491803
299.1779192,276.7936806
278.4042995,267.5483903
298.8397376,276.3371168
296.3455457,275.6352318
146.0348329,139.4918519
282.4882563,269.8928395
264.4363734,248.3439606
258.9462759,252.7438104
243.0304594,239.8063709
261.7828526,251.154035
248.068335,242.9639276
273.9390078,258.0815378
