RMC,CCC,Complexity
31.5,2.74298496,0.171334847
15.5,2.733754301,0.171334847
22.5,2.733325358,0.171334847
13,2.732134097,0.171334847
19.5,2.733517438,0.171334847
13,2.731070179,0.171334847
19,2.733437813,0.171334847
13,2.733547293,0.171334847
22.5,2.733298478,0.171334847
7,2.822315124,0.171334847
7.5,2.822420115,0.171334847
25,2.739213086,0.171334847
22,2.733517438,0.171334847
6.5,2.822498486,0.171334847
16.5,2.733704034,0.171334847
27.5,2.733517438,0.171334847
22,2.73363686,0.171334847
16,2.733547293,0.171334847
22.5,2.733016832,0.171334847
16.5,2.733235792,0.171334847
27.5,2.734129991,0.171334847
9.5,2.822865956,0.171334847
10,2.822498486,0.171334847
22,2.733235792,0.171334847
22.5,2.734244935,0.171334847
15.5,2.733517438,0.171334847
18.5,2.733547293,0.171334847
21.5,2.733828939,0.171334847
25.5,2.73380994,0.171334847
19,2.733963289,0.171334847
28,2.743238751,0.171334847
7,2.822210132,0.171334847
13.5,2.732134097,0.171334847
19.5,2.733547293,0.171334847
15.5,2.732134097,0.171334847
9.5,2.822498486,0.171334847
10,2.73149116,0.171334847
10,2.822656968,0.171334847
22,2.733547293,0.171334847
22.5,2.733517438,0.171334847
31.5,2.742800852,0.171334847
9.5,2.822420115,0.171334847
25,2.733517438,0.171334847
22,2.74178324,0.171334847
25,2.738919498,0.171334847
27.5,2.737436629,0.171334847
22,2.733235792,0.171334847
30.5,2.733533994,0.171334847
21.5,2.733547293,0.171082513
28,2.735841399,0.171334847
21.5,2.733235792,0.171334847
28.5,2.743184006,0.171334847
7.5,2.731269225,0.171334847
9.5,2.822656968,0.171334847
15.5,2.731915137,0.171334847
25,2.734536887,0.171334847
25.5,2.736727533,0.171334847
10,2.822420115,0.171334847
31,2.743238751,0.171334847
28.5,2.742890418,0.171334847
31,2.742800852,0.171334847
7.5,2.822420115,0.171334847
19.5,2.73363686,0.171334847
16,2.733547293,0.171334847
28,2.734115742,0.171334847
31,2.739491746,0.171334847
12.5,2.733517438,0.171334847
13.5,2.733228826,0.171334847
28,2.733709518,0.171334847
19.5,2.733235792,0.171334847
31,2.743492522,0.171334847
13,2.73149116,0.171334847
9.5,2.731179659,0.171334847
3.5,2.821088066,0.171334847
24.5,2.740862658,0.171334847
7.5,2.822420115,0.171334847
27.5,2.733407958,0.171334847
37,2.742800852,0.171334847
9.5,2.822946068,0.171334847
19.5,2.733594554,0.171334847
28,2.733235792,0.171334847
4,2.821035819,0.171334847
7.5,2.822420115,0.171334847
13,2.731915137,0.171334847
13,2.731272201,0.171334847
28.5,2.740688491,0.171334847
28,2.743064584,0.171334847
16,2.73363686,0.171334847
19.5,2.731822596,0.171334847
6.5,2.822420115,0.171334847
16,2.733407958,0.171334847
18.5,2.733644821,0.171334847
13.5,2.732024617,0.171334847
27.5,2.743064584,0.171334847
16,2.733517438,0.171334847
10,2.731179659,0.171334847
9.5,2.822709215,0.171334847
18.5,2.73149116,0.171334847
30.5,2.742800852,0.171334847
13.5,2.73149116,0.171334847
4,2.82111419,0.171334847
13.5,2.732134097,0.171334847
7,2.822709215,0.171334847
25,2.734507032,0.171334847
18.5,2.733126312,0.171334847
10,2.822420115,0.171334847
25,2.733517438,0.171334847
10,2.822420115,0.171334847
22,2.733547293,0.171334847
4,2.821062689,0.171334847
19.5,2.733547293,0.171334847
25,2.733235792,0.171334847
24.5,2.733235792,0.171334847
7,2.822420115,0.171334847
3.5,2.820930828,0.171334847
7,2.822446985,0.171334847
7,2.821324919,0.171334847
25,2.734684643,0.171334847
25.5,2.743238751,0.171334847
13,2.733126312,0.171334847
22.5,2.733517438,0.171334847
13,2.736097084,0.171334847
9.5,2.822551976,0.171334847
10,2.733828939,0.171334847
10,2.731179659,0.171334847
25,2.73330845,0.171334847
10,2.733517438,0.171334847
6.5,2.822656968,0.171334847
16,2.731647901,0.171334847
25,2.733517438,0.171334847
24.5,2.733235792,0.171334847
28,2.742691372,0.171334847
25.5,2.742955105,0.171334847
24.5,2.733126312,0.171334847
10,2.822420115,0.171334847
22,2.735132867,0.171334847
16,2.733215878,0.171334847
30.5,2.74309444,0.171334847
9.5,2.822656968,0.171334847
3.5,2.821035819,0.171334847
10,2.732104242,0.171334847
34.5,2.742955105,0.171334847
9.5,2.822710459,0.171334847
15.5,2.733547293,0.171334847
22,2.733437813,0.171334847
18.5,2.733547293,0.171334847
19,2.733547293,0.171334847
19,2.733547293,0.171334847
10,2.822420115,0.171334847
10,2.822420115,0.171334847
7,2.822656968,0.171334847
12.5,2.73308949,0.171334847
16,2.733298478,0.171334847
12.5,2.733517438,0.171334847
21.5,2.742671458,0.171334847
7.5,2.822656968,0.171334847
22,2.74309444,0.171334847
31.5,2.743064584,0.171334847
25.5,2.742845625,0.171334847
4.5,2.822656968,0.171334847
6.5,2.822420115,0.171334847
28,2.733700461,0.171334847
4,2.821035819,0.171334847
31,2.743582088,0.171334847
16,2.730984583,0.171334847
13,2.822551976,0.171334847
13.5,2.732306263,0.171334847
6.5,2.822446985,0.171334847
16.5,2.731428942,0.171334847
10,2.822787585,0.171334847
4.5,2.820930828,0.171334847
19.5,2.733407958,0.171334847
25.5,2.733325358,0.171334847
25,2.733126312,0.171334847
25,2.733517438,0.171334847
10,2.731461305,0.171334847
7.5,2.822420115,0.171334847
22,2.742955105,0.171334847
4.5,2.822656968,0.171334847
25.5,2.73380994,0.171334847
12.5,2.731775802,0.171334847
10,2.822551976,0.171334847
28,2.733517438,0.171334847
4.5,2.820930828,0.171334847
3.5,2.821035819,0.171334847
31.5,2.74309444,0.171334847
27.5,2.733235792,0.171334847
19.5,2.823878054,0.171334847
4,2.821221172,0.171334847
19,2.733828939,0.171334847
16,2.731543905,0.171334847
31,2.742955105,0.171334847
19.5,2.731775802,0.171334847
31.5,2.741979788,0.171334847
13,2.731647901,0.171334847
25.5,2.733517438,0.171334847
13.5,2.731907156,0.171334847
13,2.822420115,0.171082513
10,2.822710459,0.171334847
16,2.733407958,0.171334847
31,2.743756255,0.171334847
7.5,2.822605467,0.171334847
7,2.822656968,0.171334847
13,2.73350053,0.171334847
7,2.82281545,0.171334847
16,2.732134097,0.171334847
27.5,2.741957406,0.171334847
7.5,2.822656968,0.171334847
25,2.743129271,0.171334847
28,2.733517438,0.171334847
25,2.742743619,0.171334847
28,2.742955105,0.171334847
7.5,2.822210132,0.171334847
4.5,2.822393494,0.171334847
6.5,2.822446985,0.171334847
10,2.822656968,0.171334847
16.5,2.73350053,0.171334847
16,2.731494156,0.171334847
4,2.821035819,0.171334847
28,2.741519507,0.171334847
10,2.73311637,0.171334847
6.5,2.822656968,0.171082513
22.5,2.733517438,0.171334847
15.5,2.822709215,0.171334847
7.5,2.822498486,0.171334847
4.5,2.82281545,0.171334847
3.5,2.822551976,0.171334847
21.5,2.733709518,0.171334847
10,2.732296321,0.171334847
4.5,2.821035819,0.171334847
4,2.821035819,0.171334847
27.5,2.733517438,0.171334847
4,2.821035819,0.171334847
4,2.820825836,0.171334847
4,2.82111419,0.171334847
4,2.821035819,0.171334847
4.5,2.822446985,0.171334847
22,2.733616946,0.171334847
4.5,2.822420115,0.171334847
22,2.743019791,0.171334847
25.5,2.742845625,0.171334847
19.5,2.733328334,0.171334847
30.5,2.74309444,0.171334847
16,2.732639659,0.171334847
4.5,2.822420115,0.171334847
22.5,2.733126312,0.171334847
6.5,2.822498486,0.171334847
2.333333333,5.253904037,0.255202629
2.333333333,5.108477267,0.244719136
1.833333333,5.476929064,0.248630887
4.833333333,5.820795162,0.251447348
4.333333333,5.74044023,0.251447348
5.333333333,5.792576246,0.236739164
3.833333333,5.352817459,0.235643874
4.333333333,1.185656028,0.236739164
1.833333333,5.384662889,0.248630887
3.333333333,5.348482906,0.193084024
2.833333333,5.794122068,0.26067908
3.833333333,5.344849245,0.234548584
2.833333333,5.32767141,0.247535597
3.333333333,5.080072064,0.248943827
1.833333333,5.564286823,0.248630887
1.833333333,2.741086935,0.112814896
3.833333333,5.661730386,0.235643874
3.833333333,5.605678803,0.250195588
1.833333333,5.0912182,0.245345016
3.833333333,5.695788442,0.251290878
2.833333333,4.874039691,0.237521515
4.333333333,5.812491546,0.250195588
3.333333333,4.802330822,0.236269754
3.333333333,5.540892407,0.240181505
3.333333333,5.745381622,0.234705054
2.333333333,5.698617598,0.248630887
2.833333333,5.173948494,0.255672039
3.833333333,5.58184886,0.234705054
