CCL,PLC
73.83809524,40.33409786
73.5968254,40.33868502
73.5963925,40.33409786
73.55137085,40.33639144
73.5989899,40.33639144
73.53041847,40.33180428
73.5978355,40.33409786
73.5998557,40.33639144
73.59494949,40.33180428
76.13106782,42.76622419
76.13308802,42.76843658
73.76435786,40.33639144
73.5989899,40.33639144
76.13536075,42.76843658
73.60440115,40.33639144
73.5989899,40.33639144
73.6024531,40.33639144
73.5998557,40.33639144
73.58975469,40.3295107
73.59379509,40.33409786
73.64747475,40.33639144
76.14369408,42.77064897
76.13536075,42.76843658
73.59379509,40.33409786
73.61414141,40.34097859
73.5989899,40.33639144
73.5998557,40.33639144
73.60505051,40.33868502
73.62323232,40.33639144
73.60894661,40.33868502
73.84184704,40.33868502
76.12904762,42.7640118
73.55137085,40.33639144
73.5998557,40.33639144
73.55137085,40.33639144
76.13536075,42.76843658
73.53849928,40.33639144
76.13763348,42.77064897
73.5998557,40.33639144
73.5989899,40.33639144
73.83405483,40.33409786
76.13308802,42.76843658
73.5989899,40.33639144
73.81435786,40.33868502
73.75829726,40.33409786
73.72756133,40.33868502
73.59379509,40.33409786
73.61803752,40.33409786
73.5998557,40.33639144
73.68751804,40.33639144
73.59379509,40.33409786
73.84271284,40.33868502
73.53503608,40.33409786
76.13763348,42.77064897
73.54733045,40.33409786
73.66500722,40.33639144
73.71435786,40.33639144
76.13308802,42.76843658
73.84184704,40.33868502
73.83665224,40.33639144
73.83405483,40.33409786
76.13308802,42.76843658
73.6024531,40.33639144
73.5998557,40.33639144
73.62929293,40.33868502
73.76998557,40.33409786
73.5989899,40.33639144
73.58571429,40.33409786
73.6015873,40.33868502
73.59379509,40.33409786
73.84920635,40.33868502
73.53849928,40.33639144
73.53243867,40.33409786
76.10265512,42.68289086
73.79747475,40.33639144
76.13308802,42.76843658
73.5969697,40.33409786
73.83405483,40.33409786
76.14369408,42.77286136
73.60238095,40.33409786
73.59379509,40.33409786
76.10113997,42.68289086
76.13308802,42.76843658
73.54733045,40.33409786
73.53445887,40.33180428
73.79487734,40.33409786
73.83924964,40.33639144
73.6024531,40.33639144
73.54531025,40.33409786
76.13308802,42.76843658
73.5969697,40.33409786
73.59480519,40.33639144
73.54935065,40.33639144
73.83924964,40.33639144
73.5989899,40.33639144
73.53243867,40.33409786
76.13914863,42.77064897
73.53849928,40.33639144
73.83405483,40.33409786
73.53849928,40.33639144
76.1034127,42.68289086
73.55137085,40.33639144
76.13914863,42.77064897
73.66414141,40.33639144
73.59177489,40.33180428
76.13308802,42.76843658
73.5989899,40.33639144
76.13308802,42.76843658
73.5998557,40.33639144
76.10164502,42.68067847
73.5998557,40.33639144
73.59379509,40.33409786
73.59379509,40.33409786
76.13308802,42.76843658
76.09911977,42.68067847
76.13359307,42.76622419
76.10720058,42.68510324
73.66673882,40.33868502
73.84184704,40.33868502
73.59177489,40.33180428
73.5989899,40.33639144
73.69213564,40.33180428
76.13561328,42.76843658
73.60505051,40.33868502
73.53243867,40.33409786
73.58686869,40.33639144
73.5989899,40.33639144
76.13763348,42.77064897
73.54304473,40.33639144
73.5989899,40.33639144
73.59379509,40.33409786
73.83203463,40.33180428
73.83722944,40.33409786
73.59177489,40.33180428
76.13308802,42.76843658
73.67438672,40.33180428
73.59437229,40.33180428
73.84011544,40.33639144
76.13763348,42.77064897
76.10113997,42.68289086
73.55050505,40.33639144
73.83722944,40.33409786
76.137886,42.77064897
73.5998557,40.33639144
73.5978355,40.33409786
73.5998557,40.33639144
73.5998557,40.33639144
73.5998557,40.33639144
