RMC,CCC,Complexity
2.833333333,5.508216906,1
4.333333333,5.910790287,1
3.833333333,5.861149513,1
2.333333333,2.903250258,1
3.833333333,5.587763471,1
1.833333333,5.234196516,1
2.333333333,5.122922325,1
1.833333333,4.813884159,1
2.833333333,5.179004417,1
2.333333333,4.910273493,1
3.333333333,5.421587056,1
1.333333333,4.123843047,1
2.833333333,5.921545863,1
2.833333333,5.541162122,1
3.833333333,5.291069245,1
3.833333333,5.618607269,1
2.833333333,5.328884042,1
3.833333333,5.679430035,1
2.833333333,5.710346735,1
1.833333333,5.031151651,1
2.333333333,5.073122853,1
1.333333333,5.116490168,1
1.333333333,5.116490168,1
1.833333333,5.384411271,1
2.833333333,5.424468577,1
2.833333333,5.583351479,1
2.333333333,5.246300249,1
2.833333333,5.531874947,1
5.333333333,5.778820344,1
1.833333333,4.995060469,1
1.333333333,5.116490168,1
4.333333333,5.64028184,1
3.833333333,5.333724538,1
2.833333333,4.824483931,1
1.833333333,4.912976166,1
4.333333333,5.779584205,1
1.833333333,5.10290202,1
2.833333333,5.695453689,1
3.833333333,5.61432014,1
2.333333333,2.89498126,1
1.333333333,5.116490168,1
4.833333333,5.725687137,1
1.833333333,5.161241091,1
3.833333333,5.872492221,1
1.333333333,4.916606023,1
1.333333333,4.147639421,1
2.333333333,5.160338404,1
4.833333333,5.685136994,1
2.833333333,5.3392635,1
3.833333333,5.71866414,1
3.333333333,5.583532123,1
1.833333333,4.912795387,1
4.833333333,5.811028389,1
2.333333333,5.384530718,1
2.333333333,5.253763739,1
1.833333333,5.017321395,1
3.833333333,5.812222836,1
2.833333333,5.361650458,1
4.333333333,5.954077816,1
2.833333333,5.565701764,1
2.833333333,5.703278657,1
4.333333333,5.628959983,1
3.333333333,5.139088006,1
3.333333333,5.855592495,1
3.833333333,5.196253442,1
1.833333333,5.103242662,1
4.333333333,5.892489092,1
1.833333333,5.383929818,1
3.333333333,5.682105377,1
4.333333333,5.77939562,1
1.833333333,5.147191512,1
3.833333333,5.728234771,1
2.833333333,5.044968555,1
3.333333333,5.597489646,1
4.333333333,5.85182412,1
4.833333333,5.866686987,1
2.333333333,2.867540377,1
2.333333333,5.233966936,1
2.833333333,5.044965518,1
3.333333333,5.644881739,1
5.333333333,6.070810828,1
4.333333333,5.897017415,1
2.333333333,5.486061752,1
3.833333333,5.162354798,1
4.833333333,5.857375068,1
2.833333333,5.593418519,1
1.833333333,2.741056013,1
2.833333333,5.740348207,1
2.833333333,4.992623236,1
1.333333333,5.039371079,1
4.333333333,5.614829929,1
1.833333333,5.068074886,1
2.833333333,5.303252218,1
1.833333333,4.899617617,1
1.833333333,5.020088291,1
3.333333333,5.783403907,1
1.833333333,5.033326843,1
1.333333333,5.112930008,1
3.833333333,5.853850174,1
1.333333333,4.07687793,1
3.833333333,6.111391036,1
1.833333333,5.232782424,1
3.333333333,5.785974479,1
3.333333333,5.124287373,1
4.333333333,5.583219886,1
2.333333333,5.689417479,1
4.833333333,6.010514646,1
2.333333333,5.580513378,1
3.833333333,5.586669361,1
2.333333333,4.641925883,1
4.333333333,5.70303255,1
4.333333333,5.366463774,1
3.833333333,5.558845647,1
2.333333333,5.195133752,1
4.833333333,5.962766767,1
3.833333333,5.273985902,1
4.333333333,5.871803635,1
3.833333333,5.598903711,1
4.833333333,5.625328917,1
3.333333333,5.391786388,1
2.333333333,2.74240169,1
2.666666667,5.891914954,1
3.333333333,5.552852803,1
2.333333333,5.522711793,1
1.833333333,2.74108399,1
3.333333333,5.879672969,1
1.833333333,2.7410781,1
3.333333333,5.412588542,1
4.333333333,5.956023851,1
4.333333333,5.952132844,1
3.833333333,5.742086579,1
4.333333333,5.737514928,1
4.333333333,5.738770733,1
1.333333333,4.462996019,1
3.333333333,3.860180908,1
2.833333333,5.502167415,1
4.333333333,5.875348063,1
1.833333333,5.380422638,1
3.333333333,5.747152219,1
1.833333333,4.911682075,1
4.333333333,5.813545736,1
3.333333333,5.815406506,1
2.833333333,4.630585695,1
3.833333333,5.836994396,1
2.833333333,5.621619542,1
1.833333333,4.978423882,1
4.333333333,6.01321393,1
1.333333333,4.463157379,1
