CCL,PLC,Attack Surface
239.3531954,373.9709683,0
472.4644867,378.0323208,0
466.0659045,374.0961974,0
238.0492295,378.0025493,0
466.3546709,374.3279827,0
472.5364203,378.0948972,1
466.2645235,374.2796989,0
472.5097793,378.1019941,0
466.0430354,374.0078348,0
472.5012648,378.0949477,1
466.004922,374.1257392,0
472.5584106,378.063945,0
466.1147218,374.0781021,0
472.400328,378.0226334,1
239.4521158,374.244985,0
472.47231,378.0976296,1
466.1169779,374.072135,0
472.4451396,378.0201644,0
466.0131946,374.1122507,0
238.0174539,378.088687,0
465.9985839,373.9447206,0
472.5338791,378.0862954,0
466.205722,374.2494328,0
472.5482058,378.096402,0
466.193752,374.2674262,0
472.5522984,378.1297339,1
466.0467004,374.0042057,0
495.9001475,396.5580787,1
466.2213866,374.2190028,0
475.8799245,377.4268898,1
239.3815786,374.0973777,0
472.4152476,378.0379623,0
466.2216636,374.2168729,0
472.5538382,378.1261605,0
466.12607,374.1920082,0
472.4977697,378.0978492,0
466.1856656,374.236931,0
238.2019469,378.1507639,0
239.3719715,374.2348958,0
237.9937274,378.0177859,1
239.4138606,374.1684069,0
472.5303452,378.0995678,1
466.2107293,374.2231666,0
238.0722918,378.0350247,1
466.1404888,374.1509374,0
238.0294358,378.0268343,1
466.1056085,374.0747786,0
472.4427929,378.0371111,0
466.0668356,374.1904177,0
472.4740851,378.03878,0
239.3827636,374.0920796,0
472.4487822,378.0233785,1
466.0078899,374.1489235,0
238.0730658,378.1086905,0
466.2884009,374.2924405,0
472.4379634,378.0271544,0
466.0434634,373.9958772,0
472.5666577,378.1098442,1
466.1846379,374.2226593,0
472.518168,378.1035834,0
466.2332589,374.1878575,0
472.6274108,378.1202896,1
466.0291854,374.11283,0
472.5594166,378.0965085,0
239.3843761,374.2497392,0
472.5423162,378.0966004,0
239.509093,374.2745042,0
472.4070778,378.0277861,0
466.119759,374.1329942,0
472.473363,378.0077233,0
466.0903312,374.1617936,0
472.408344,377.9929962,1
466.2593335,374.2543082,0
472.5211786,378.1056305,1
239.380397,374.0844462,0
472.55361,378.0956635,0
466.2313845,374.215065,0
238.0602913,378.093428,0
466.2163249,374.248494,0
238.0381963,378.0232721,0
466.1690072,374.0832714,0
472.4757248,378.0233429,0
466.0300993,373.9314003,0
600.1408022,423.7729455,1
466.024012,374.1142987,0
472.5280312,378.089645,0
465.9901151,373.9915386,0
472.5134983,378.1116704,0
466.141696,374.2204697,0
472.512848,378.0795666,0
465.9542496,373.9853508,0
472.5216529,378.0449599,1
466.0664954,374.0317957,0
472.4636217,378.0265659,1
466.1314603,374.1912514,0
472.4947669,378.1234698,1
466.1347896,374.0861514,0
472.4630977,378.0240943,1
466.0329359,374.1261368,0
472.6035519,378.1200622,0
523.2609859,418.1498494,0
472.4795765,378.0941093,0
466.2205064,374.2375511,0
238.0567666,378.0227398,1
466.2204358,374.2506345,0
472.4342926,378.0390773,1
239.3335899,374.2230228,0
472.4057973,377.9700486,0
312.2632042,235.994253,0
466.2367371,374.081471,0
472.4407814,378.023265,0
466.0477914,374.0367366,0
472.4590056,377.9893331,0
466.1676667,374.123341,0
472.4571864,378.0181141,0
466.1596921,374.0921458,1
472.4514222,378.029433,0
465.9342705,373.9479307,1
472.4374177,378.050294,0
466.2329097,374.1483211,0
472.4066365,378.0276796,0
532.2359021,576.75434,0
529.7033184,573.0621752,0
532.2359021,575.2458311,0
532.3088696,574.9393944,0
532.2359021,575.2458311,0
529.2059347,571.8068413,0
524.364656,561.0255531,0
532.2348858,575.2383888,0
529.7077736,572.416976,0
526.658573,568.0243208,0
521.2740228,558.2463134,0
520.1181801,556.0561027,0
532.7211179,575.9784743,0
529.2333737,571.8123907,0
517.5010636,552.3345607,0
532.2094793,575.2468225,0
520.6440445,558.4957338,0
528.8014536,570.6997688,0
531.8638396,574.2322609,0
530.2929458,573.4708993,0
532.7019541,575.9896549,0
520.083344,556.0496096,0
529.2925782,571.3868678,0
531.0531785,574.969315,0
532.7068902,577.4174128,0
519.6245676,555.2151796,0
532.2359021,575.2308252,0
520.6285293,556.7665846,0
526.6951584,568.1075643,0
526.6941421,568.0421929,0
529.6865773,572.7588175,0
532.1972842,575.283606,0
529.697611,572.4117786,0
532.7068902,575.919231,0
532.7202468,577.3824301,0
529.7033184,573.0070148,0
532.2348858,576.7785137,0
529.7220013,574.0127875,0
529.7094159,571.5744043,0
529.1947559,571.7204276,0
532.7211179,575.9129305,0
529.2333737,571.8123907,0
520.6449227,556.7777246,0
532.2084631,576.7832275,0
529.7199687,574.0006283,0
526.6606056,568.0123286,0
529.697611,572.4260732,0
529.1947559,571.806467,0
523.9007837,561.9790252,0
520.1038358,557.7808775,0
517.5143833,552.341908,0
529.693546,572.4201603,0
532.2359021,576.7777026,0
518.8945737,554.250617,0
532.1993167,576.6944629,0
520.1314998,556.0626218,0
529.6854159,574.0689856,0
524.3617286,561.0131901,0
532.2359021,575.2596545,0
520.0935899,557.776095,0
532.6825,575.8498358,0
532.2359021,576.7682387,0
520.6285293,558.4878822,0
521.3180802,558.2628905,0
531.0592761,574.9724285,0
520.6428735,556.7741693,0
532.7211179,575.9475003,0
529.6774037,571.5307324,0
532.1972842,576.7567851,0
532.2176094,576.6933447,0
526.6951584,568.1280099,0
518.8802295,554.2517623,0
532.2369184,575.2725446,0
532.2359021,576.7026845,0
521.2801704,556.6273542,0
520.6449227,556.7752529,0
528.8095836,570.7069103,0
520.6051101,556.742714,0
523.8188165,560.3104864,0
532.2359021,575.3126056,0
532.7190854,577.4588677,0
520.1314998,556.0745803,0
520.6428735,558.4849981,0
532.1993167,575.168999,0
531.0145607,574.9575171,0
529.269059,571.3647475,0
521.2607032,556.6069189,0
529.3137744,571.3876171,0
532.7211179,575.9403177,0
533.496113,576.559488,0
529.7138712,574.1025053,0
529.7053509,572.9975944,0
529.3097094,571.389025,0
531.7885625,575.9432706,0
529.7220013,574.0127875,0
531.798799,574.285956,0
523.857751,560.3310297,0
532.7211179,577.4142188,0
520.1028112,557.78235,0
528.0495456,571.6053357,0
520.6428735,556.7735031,0
529.6768956,573.0591403,0
532.2338696,575.2373308,0
523.8198411,560.3119961,0
532.2216745,575.3010066,0
531.0531785,573.4587817,0
523.8188165,560.3432987,0
532.2216745,575.2490248,0
532.7211179,575.9784743,0
529.6789281,572.9841011,0
532.7211179,577.4079942,0
532.2196419,576.7237041,0
529.2333737,571.7472204,0
529.7023021,573.0613326,0
529.7220013,572.510281,0
522.6497069,558.5318722,0
