CCC,AttackSurface
2.74298496,0.011208293
2.733754301,0.011208293
2.733325358,0.011208293
2.732134097,0.011208293
2.733517438,0.011208293
2.731070179,0.011208293
2.733437813,0.011208293
2.733547293,0.011208293
2.733298478,0.011208293
2.822315124,0.011208293
2.822420115,0.011208293
2.739213086,0.011208293
2.733517438,0.011208293
2.822498486,0.011208293
2.733704034,0.011208293
2.733517438,0.011208293
2.73363686,0.011208293
2.733547293,0.011208293
2.733016832,0.011208293
2.733235792,0.011208293
2.734129991,0.011208293
2.822865956,0.011208293
2.822498486,0.011208293
2.733235792,0.011208293
2.734244935,0.011208293
2.733517438,0.011208293
2.733547293,0.011208293
2.733828939,0.011208293
2.73380994,0.011208293
2.733963289,0.011208293
2.743238751,0.011208293
2.822210132,0.011208293
2.732134097,0.011208293
2.733547293,0.011208293
2.732134097,0.011208293
2.822498486,0.011208293
2.73149116,0.011208293
2.822656968,0.011208293
2.733547293,0.011208293
2.733517438,0.011208293
2.742800852,0.011208293
2.822420115,0.011208293
2.733517438,0.011208293
2.74178324,0.011208293
2.738919498,0.011208293
2.737436629,0.011208293
2.733235792,0.011208293
2.733533994,0.011208293
2.733547293,0.011208293
2.735841399,0.011208293
2.733235792,0.011208293
2.743184006,0.011208293
2.731269225,0.011208293
2.822656968,0.011208293
2.731915137,0.011208293
2.734536887,0.011208293
2.736727533,0.011208293
2.822420115,0.011208293
2.743238751,0.011208293
2.742890418,0.011208293
2.742800852,0.011208293
2.822420115,0.011208293
2.73363686,0.011208293
2.733547293,0.011208293
2.734115742,0.011208293
2.739491746,0.011208293
2.733517438,0.011208293
2.733228826,0.011208293
2.733709518,0.011208293
2.733235792,0.011208293
2.743492522,0.011208293
2.73149116,0.011208293
2.731179659,0.011208293
2.821088066,0.011208293
2.740862658,0.011208293
2.822420115,0.011208293
2.733407958,0.011208293
2.742800852,0.011208293
2.822946068,0.011208293
2.733594554,0.011208293
2.733235792,0.011208293
2.821035819,0.011208293
2.822420115,0.011208293
2.731915137,0.011208293
2.731272201,0.011208293
2.740688491,0.011208293
2.743064584,0.011208293
2.73363686,0.011208293
2.731822596,0.011208293
2.822420115,0.011208293
2.733407958,0.011208293
2.733644821,0.011208293
2.732024617,0.011208293
2.743064584,0.011208293
2.733517438,0.011208293
2.731179659,0.011208293
2.822709215,0.011208293
2.73149116,0.011208293
2.742800852,0.011208293
2.73149116,0.011208293
2.82111419,0.011208293
