CCL,PLC,Attack Surface
73.83809524,40.33409786,0.011208293
73.5968254,40.33868502,0.011208293
73.5963925,40.33409786,0.011208293
73.55137085,40.33639144,0.011208293
73.5989899,40.33639144,0.011208293
73.53041847,40.33180428,0.011208293
73.5978355,40.33409786,0.011208293
73.5998557,40.33639144,0.011208293
73.59494949,40.33180428,0.011208293
76.13106782,42.76622419,0.011208293
76.13308802,42.76843658,0.011208293
73.76435786,40.33639144,0.011208293
73.5989899,40.33639144,0.011208293
76.13536075,42.76843658,0.011208293
73.60440115,40.33639144,0.011208293
73.5989899,40.33639144,0.011208293
73.6024531,40.33639144,0.011208293
73.5998557,40.33639144,0.011208293
73.58975469,40.3295107,0.011208293
73.59379509,40.33409786,0.011208293
73.64747475,40.33639144,0.011208293
76.14369408,42.77064897,0.011208293
76.13536075,42.76843658,0.011208293
73.59379509,40.33409786,0.011208293
73.61414141,40.34097859,0.011208293
73.5989899,40.33639144,0.011208293
73.5998557,40.33639144,0.011208293
73.60505051,40.33868502,0.011208293
73.62323232,40.33639144,0.011208293
73.60894661,40.33868502,0.011208293
73.84184704,40.33868502,0.011208293
76.12904762,42.7640118,0.011208293
73.55137085,40.33639144,0.011208293
73.5998557,40.33639144,0.011208293
73.55137085,40.33639144,0.011208293
76.13536075,42.76843658,0.011208293
73.53849928,40.33639144,0.011208293
76.13763348,42.77064897,0.011208293
73.5998557,40.33639144,0.011208293
73.5989899,40.33639144,0.011208293
73.83405483,40.33409786,0.011208293
76.13308802,42.76843658,0.011208293
73.5989899,40.33639144,0.011208293
73.81435786,40.33868502,0.011208293
73.75829726,40.33409786,0.011208293
73.72756133,40.33868502,0.011208293
73.59379509,40.33409786,0.011208293
73.61803752,40.33409786,0.011208293
73.5998557,40.33639144,0.011208293
73.68751804,40.33639144,0.011208293
73.59379509,40.33409786,0.011208293
73.84271284,40.33868502,0.011208293
73.53503608,40.33409786,0.011208293
76.13763348,42.77064897,0.011208293
73.54733045,40.33409786,0.011208293
73.66500722,40.33639144,0.011208293
73.71435786,40.33639144,0.011208293
76.13308802,42.76843658,0.011208293
73.84184704,40.33868502,0.011208293
73.83665224,40.33639144,0.011208293
73.83405483,40.33409786,0.011208293
