CCC,AttackSurface
1.660180405,0.006843911
3.230063507,0.007515898
3.185604786,0.006843911
1.652592541,0.007496133
3.187614961,0.006843911
3.230559202,0.009037891
3.186992603,0.006843911
3.230378876,0.007476368
3.185453871,0.006843911
3.230321089,0.010184413
3.185190906,0.006843911
3.230700955,0.007515898
3.185962413,0.00427529
3.22962807,0.008919288
1.660893532,0.006843911
3.230124576,0.010065805
3.185977725,0.006843911
3.2299322,0.007555428
3.185247051,0.006843911
1.652385826,0.007555428
3.185140161,0.006843911
3.230542438,0.007496133
3.186593525,0.006843911
3.230639672,0.007515898
3.186512286,0.006843911
3.230667447,0.009670448
3.185480931,0.006843911
3.390230122,0.009156494
3.186694061,0.00427529
3.253501158,0.010184413
1.660407076,0.00427529
3.229729327,0.007555428
3.186695941,0.006843911
3.230677897,0.007496133
3.18602733,0.006843911
3.230297368,0.007515898
3.186451628,0.006843911
1.653637955,0.007555428
1.660349604,0.006843911
1.652216822,0.009156494
1.66059986,0.00427529
3.230518453,0.008919288
3.186621732,0.006843911
1.652750028,0.010065805
3.186125189,0.006843911
1.652459171,0.010065805
3.185900562,0.006843911
3.229916273,0.007515898
3.185611105,0.006843911
3.230128649,0.007555428
1.660415119,0.006903202
3.229956922,0.009037891
3.185211049,0.006843911
1.652763256,0.007555428
3.187148878,0.00427529
3.229883496,0.004986423
3.185458961,0.006843911
3.230764901,0.010065805
3.186432942,0.006843911
3.230435809,0.007555428
3.186774637,0.006843911
3.231177225,0.010184413
3.185355579,0.006843911
3.230715757,0.005025936
1.660439256,0.006843911
3.230599699,0.007515898
1.661280229,0.004295041
3.22967388,0.007515898
3.185984498,0.006843911
3.230123265,0.007555428
3.185784776,0.006843911
3.229681507,0.010006501
3.186957379,0.006843911
3.230456241,0.010065805
1.660399057,0.00427529
3.230676348,0.007515898
3.186767693,0.006843911
1.652676557,0.007476368
3.186665485,0.006843911
1.652518628,0.007555428
3.18633084,0.006843911
3.230139777,0.00500618
3.185368261,0.006843911
4.090836883,0.010065805
3.185320467,0.006843911
3.230502749,0.007555428
3.185082685,0.006843911
3.230404116,0.007555428
3.186127917,0.006843911
3.230399702,0.007555428
3.184837084,0.00427529
