RMC,CCC
2.333333333,5.253904037
2.333333333,5.108477267
1.833333333,5.476929064
4.833333333,5.820795162
4.333333333,5.74044023
5.333333333,5.792576246
3.833333333,5.352817459
4.333333333,1.185656028
1.833333333,5.384662889
3.333333333,5.348482906
2.833333333,5.794122068
3.833333333,5.344849245
2.833333333,5.32767141
3.333333333,5.080072064
1.833333333,5.564286823
1.833333333,2.741086935
3.833333333,5.661730386
3.833333333,5.605678803
1.833333333,5.0912182
3.833333333,5.695788442
2.833333333,4.874039691
4.333333333,5.812491546
3.333333333,4.802330822
3.333333333,5.540892407
3.333333333,5.745381622
2.333333333,5.698617598
2.833333333,5.173948494
3.833333333,5.58184886
1.833333333,4.977230987
2.833333333,5.730478099
3.833333333,5.759198344
3.333333333,5.478686914
2.833333333,5.618973888
2.833333333,2.901710956
1.833333333,5.09917545
4.833333333,5.800971677
2.333333333,5.392486851
4.333333333,5.824938768
2.833333333,4.772644712
4.333333333,5.704435226
2.833333333,4.782334497
4.333333333,5.950241825
3.333333333,5.739229519
1.833333333,2.741086935
2.833333333,5.196171766
2.333333333,3.824632711
4.333333333,5.725008964
1.833333333,2.741086935
2.833333333,5.19090924
4.333333333,5.691095197
2.833333333,5.540160456
3.833333333,5.550619244
1.833333333,5.236929611
1.333333333,4.076510568
2.333333333,3.753394531
3.833333333,5.722812994
4.333333333,5.763254296
1.333333333,4.4631916
1.333333333,3.508384407
2.333333333,5.628044223
3.833333333,5.587647548
3.333333333,4.664245487
2.833333333,4.862291759
3.333333333,5.138430687
2.333333333,5.157576332
2.333333333,5.178280816
3.833333333,5.588000553
3.333333333,5.597018498
3.833333333,5.582094185
3.333333333,4.801685592
2.833333333,5.736899863
3.333333333,5.404880245
2.333333333,2.742391814
2.833333333,5.244638759
3.833333333,5.347512968
4.333333333,5.738974948
4.333333333,5.954079431
3.333333333,5.736389832
2.833333333,5.552008891
2.333333333,5.523213803
3.833333333,5.853729018
3.333333333,5.727230673
1.333333333,4.069055311
3.833333333,5.910542576
3.833333333,4.877139363
1.833333333,4.89412511
2.333333333,5.208810788
3.833333333,5.811536374
4.333333333,5.899485058
3.833333333,5.757524199
1.333333333,4.171551068
4.833333333,4.313911305
4.833333333,5.635820522
2.333333333,5.641069858
3.333333333,5.524046633
2.833333333,5.590418312
1.833333333,5.031070934
2.833333333,5.286651809
4.833333333,5.537412252
2.333333333,5.070856439
2.833333333,3.185125667
3.833333333,5.682260431
2.833333333,5.658865116
3.333333333,5.792597179
3.333333333,5.805492772
2.333333333,5.445575556
3.333333333,5.35437107
3.833333333,5.65346855
3.833333333,5.825631393
3.333333333,5.582550566
1.833333333,5.606431549
4.333333333,5.595935846
1.833333333,5.016791066
1.833333333,2.741086935
2.833333333,5.194897104
1.833333333,5.13793887
4.333333333,5.650575552
1.333333333,4.135416297
4.333333333,4.305180598
4.333333333,5.936466847
3.333333333,5.680345213
3.833333333,5.832248181
3.333333333,5.604825767
3.333333333,5.769410139
2.333333333,4.843843039
3.333333333,5.712557122
4.833333333,5.678380976
2.833333333,2.884907766
3.333333333,5.150978245
2.333333333,5.238329063
1.833333333,5.088695693
3.333333333,5.85422534
3.333333333,5.601278677
1.833333333,5.032931147
3.833333333,5.571245495
