RMC,CCC,Cyclomatic Complexity
31.5,2.74298496,1
15.5,2.733754301,1
22.5,2.733325358,1
13,2.732134097,1
19.5,2.733517438,1
13,2.731070179,1
19,2.733437813,1
13,2.733547293,1
22.5,2.733298478,1
7,2.822315124,1
7.5,2.822420115,1
25,2.739213086,1
22,2.733517438,1
6.5,2.822498486,1
16.5,2.733704034,1
27.5,2.733517438,1
22,2.73363686,1
16,2.733547293,1
22.5,2.733016832,1
16.5,2.733235792,1
27.5,2.734129991,1
9.5,2.822865956,1
10,2.822498486,1
22,2.733235792,1
22.5,2.734244935,1
15.5,2.733517438,1
18.5,2.733547293,1
21.5,2.733828939,1
25.5,2.73380994,1
19,2.733963289,1
28,2.743238751,1
7,2.822210132,1
13.5,2.732134097,1
19.5,2.733547293,1
15.5,2.732134097,1
9.5,2.822498486,1
10,2.73149116,1
10,2.822656968,1
22,2.733547293,1
22.5,2.733517438,1
31.5,2.742800852,1
9.5,2.822420115,1
25,2.733517438,1
22,2.74178324,1
25,2.738919498,1
27.5,2.737436629,1
22,2.733235792,1
30.5,2.733533994,1
21.5,2.733547293,1
28,2.735841399,1
21.5,2.733235792,1
28.5,2.743184006,1
7.5,2.731269225,1
9.5,2.822656968,1
15.5,2.731915137,1
25,2.734536887,1
25.5,2.736727533,1
10,2.822420115,1
31,2.743238751,1
28.5,2.742890418,1
31,2.742800852,1
7.5,2.822420115,1
19.5,2.73363686,1
16,2.733547293,1
28,2.734115742,1
31,2.739491746,1
12.5,2.733517438,1
13.5,2.733228826,1
28,2.733709518,1
19.5,2.733235792,1
31,2.743492522,1
13,2.73149116,1
9.5,2.731179659,1
3.5,2.821088066,1
24.5,2.740862658,1
7.5,2.822420115,1
27.5,2.733407958,1
37,2.742800852,1
9.5,2.822946068,1
19.5,2.733594554,1
28,2.733235792,1
4,2.821035819,1
7.5,2.822420115,1
13,2.731915137,1
13,2.731272201,1
28.5,2.740688491,1
28,2.743064584,1
16,2.73363686,1
19.5,2.731822596,1
6.5,2.822420115,1
16,2.733407958,1
18.5,2.733644821,1
13.5,2.732024617,1
27.5,2.743064584,1
16,2.733517438,1
10,2.731179659,1
9.5,2.822709215,1
18.5,2.73149116,1
30.5,2.742800852,1
13.5,2.73149116,1
4,2.82111419,1
13.5,2.732134097,1
7,2.822709215,1
25,2.734507032,1
18.5,2.733126312,1
10,2.822420115,1
25,2.733517438,1
10,2.822420115,1
22,2.733547293,1
4,2.821062689,1
19.5,2.733547293,1
25,2.733235792,1
24.5,2.733235792,1
7,2.822420115,1
3.5,2.820930828,1
7,2.822446985,1
7,2.821324919,1
25,2.734684643,1
25.5,2.743238751,1
13,2.733126312,1
22.5,2.733517438,1
13,2.736097084,1
9.5,2.822551976,1
10,2.733828939,1
10,2.731179659,1
25,2.73330845,1
10,2.733517438,1
6.5,2.822656968,1
16,2.731647901,1
25,2.733517438,1
24.5,2.733235792,1
28,2.742691372,1
25.5,2.742955105,1
24.5,2.733126312,1
10,2.822420115,1
22,2.735132867,1
16,2.733215878,1
30.5,2.74309444,1
9.5,2.822656968,1
3.5,2.821035819,1
10,2.732104242,1
34.5,2.742955105,1
9.5,2.822710459,1
15.5,2.733547293,1
22,2.733437813,1
18.5,2.733547293,1
19,2.733547293,1
19,2.733547293,1
10,2.822420115,1
10,2.822420115,1
7,2.822656968,1
12.5,2.73308949,1
16,2.733298478,1
12.5,2.733517438,1
21.5,2.742671458,1
7.5,2.822656968,1
22,2.74309444,1
31.5,2.743064584,1
25.5,2.742845625,1
4.5,2.822656968,1
6.5,2.822420115,1
28,2.733700461,1
4,2.821035819,1
31,2.743582088,1
16,2.730984583,1
13,2.822551976,1
13.5,2.732306263,1
6.5,2.822446985,1
16.5,2.731428942,1
10,2.822787585,1
4.5,2.820930828,1
19.5,2.733407958,1
25.5,2.733325358,1
25,2.733126312,1
25,2.733517438,1
10,2.731461305,1
7.5,2.822420115,1
22,2.742955105,1
4.5,2.822656968,1
25.5,2.73380994,1
12.5,2.731775802,1
10,2.822551976,1
28,2.733517438,1
4.5,2.820930828,1
3.5,2.821035819,1
31.5,2.74309444,1
27.5,2.733235792,1
19.5,2.823878054,1
4,2.821221172,1
19,2.733828939,1
16,2.731543905,1
31,2.742955105,1
19.5,2.731775802,1
31.5,2.741979788,1
13,2.731647901,1
25.5,2.733517438,1
13.5,2.731907156,1
13,2.822420115,1
10,2.822710459,1
16,2.733407958,1
31,2.743756255,1
7.5,2.822605467,1
7,2.822656968,1
13,2.73350053,1
7,2.82281545,1
