CCC,Execution
2.74298496,0.003802422
2.733754301,0.003768105
2.733325358,0.003767096
2.732134097,0.00381302
2.733517438,0.003826899
2.731070179,0.003857684
2.733437813,0.00386702
2.733547293,0.003861721
2.733298478,0.003803432
2.822315124,0.003808226
2.822420115,0.003774666
2.739213086,0.003844815
2.733517438,0.003844562
2.822498486,0.003831441
2.733704034,0.003875347
2.733517438,0.003827403
2.73363686,0.003866515
2.733547293,0.003835226
2.733016832,0.003833207
2.733235792,0.003879132
2.734129991,0.003839516
2.822865956,0.003864244
2.822498486,0.003867272
2.733235792,0.003826646
2.734244935,0.00379132
2.733517438,0.003822609
2.733547293,0.003927328
2.733828939,0.003832198
2.73380994,0.00390916
2.733963289,0.003990664
2.743238751,0.003872319
2.822210132,0.003810497
2.732134097,0.003775927
2.733547293,0.003764068
2.732134097,0.003819329
2.822498486,0.003806964
2.73149116,0.003897552
2.822656968,0.003825385
2.733547293,0.00382917
2.733517438,0.003834469
2.742800852,0.003804189
2.822420115,0.003811506
2.733517438,0.003814787
2.74178324,0.003804189
2.738919498,0.003816553
2.737436629,0.003799142
2.733235792,0.003832198
2.733533994,0.003875599
2.733547293,0.003824375
2.735841399,0.003849861
2.733235792,0.003843301
2.743184006,0.003775675
2.731269225,0.003820086
2.822656968,0.003814534
2.731915137,0.003842544
2.734536887,0.003811254
2.736727533,0.003840273
2.822420115,0.003838759
2.743238751,0.00382488
2.742890418,0.003853646
2.742800852,0.003822609
2.822420115,0.003826899
2.73363686,0.003838254
2.733547293,0.003816805
2.734115742,0.003797628
2.739491746,0.003781479
2.733517438,0.003817562
2.733228826,0.003845572
2.733709518,0.003839768
2.733235792,0.003870805
2.743492522,0.003860712
2.73149116,0.003827656
2.731179659,0.003790058
2.821088066,0.003778451
2.740862658,0.003773404
2.822420115,0.003821347
2.733407958,0.003860459
2.742800852,0.003876609
2.822946068,0.003847086
2.733594554,0.003807217
2.733235792,0.003793591
2.821035819,0.003781731
2.822420115,0.003819329
2.731915137,0.003833712
2.731272201,0.00383346
2.740688491,0.003854656
2.743064584,0.003851123
2.73363686,0.003850366
2.731822596,0.003820086
2.822420115,0.003815796
2.733407958,0.003842291
2.733644821,0.003841787
2.732024617,0.00393843
2.743064584,0.003859702
2.733517438,0.003798385
2.731179659,0.003778955
2.822709215,0.003796619
2.73149116,0.003828413
2.742800852,0.003850366
2.73149116,0.003849357
2.82111419,0.003876861
2.732134097,0.003801161
2.822709215,0.003780974
2.734507032,0.003779208
2.733126312,0.003807217
2.822420115,0.003839768
2.733517438,0.003892506
2.822420115,0.003865758
2.733547293,0.003827908
2.821062689,0.003860459
2.733547293,0.003786778
2.733235792,0.00380974
2.733235792,0.003811506
2.822420115,0.003802675
2.820930828,0.003847086
2.822446985,0.003853142
2.821324919,0.003839516
2.734684643,0.003800404
2.743238751,0.00383674
2.733126312,0.00381403
2.733517438,0.003809488
2.736097084,0.003843805
2.822551976,0.003798637
2.733828939,0.003843048
2.731179659,0.00385188
2.73330845,0.003849104
2.733517438,0.003846329
2.822656968,0.003829422
2.731647901,0.003795357
2.733517438,0.003901337
2.733235792,0.003872824
2.742691372,0.003800151
2.742955105,0.003813273
2.733126312,0.003825132
2.822420115,0.003840525
2.735132867,0.003831441
2.733215878,0.003841282
2.74309444,0.003807469
2.822656968,0.003792834
2.821035819,0.00379788
2.732104242,0.003826899
2.742955105,0.003812263
2.822710459,0.003841534
2.733547293,0.003843553
2.733437813,0.003850618
2.733547293,0.003874338
2.733547293,0.003815039
2.733547293,0.003830179
2.822420115,0.003788544
2.822420115,0.003811506
2.822656968,0.003821347
2.73308949,0.003830431
2.733298478,0.003840525
2.733517438,0.003846833
2.742671458,0.003842039
2.822656968,0.003811506
2.74309444,0.003811002
2.743064584,0.003777694
2.742845625,0.003793086
2.822656968,0.003816805
2.822420115,0.003860712
2.733700461,0.003840525
2.821035819,0.003834974
2.743582088,0.003831441
2.730984583,0.003777694
2.822551976,0.003802927
2.732306263,0.003805198
2.822446985,0.003824123
2.731428942,0.003793843
2.822787585,0.003853646
2.820930828,0.003846581
2.733407958,0.003827403
2.733325358,0.003843301
2.733126312,0.003834974
2.733517438,0.003839263
2.731461305,0.003853646
2.822420115,0.003811254
2.742955105,0.00380974
2.822656968,0.003825132
2.73380994,0.00380217
2.731775802,0.003847338
2.822551976,0.003872824
2.733517438,0.00387787
2.820930828,0.003852637
2.821035819,0.003789049
2.74309444,0.003811759
2.733235792,0.003775675
2.823878054,0.003835983
2.821221172,0.003835731
2.733828939,0.003859198
2.731543905,0.003872571
2.742955105,0.003880141
2.731775802,0.003852132
2.741979788,0.00377618
2.731647901,0.003771385
2.733517438,0.003818824
2.731907156,0.003847086
2.822420115,0.003882917
2.822710459,0.003837245
2.733407958,0.003816048
2.743756255,0.003808478
2.822605467,0.003767853
2.822656968,0.003840525
2.73350053,0.003845572
2.82281545,0.003842796
2.732134097,0.00385617
2.741957406,0.003808731
2.822656968,0.003803936
2.743129271,0.003799394
2.733517438,0.003881403
2.742743619,0.003888468
2.742955105,0.003832955
2.822210132,0.003803936
2.822393494,0.003780469
2.822446985,0.003770124
2.822656968,0.003833207
2.73350053,0.003872824
2.731494156,0.003884683
2.821035819,0.003879384
2.741519507,0.003858188
2.73311637,0.003766591
2.822656968,0.003768105
2.733517438,0.003812263
2.822709215,0.003889225
2.822498486,0.003813777
2.82281545,0.00385188
2.822551976,0.003850366
2.733709518,0.003863487
2.732296321,0.00394272
2.821035819,0.003933636
2.821035819,0.003901085
2.733517438,0.00389301
2.821035819,0.00389301
2.820825836,0.003896038
2.82111419,0.003895281
2.821035819,0.00390916
2.822446985,0.003941711
2.733616946,0.00395458
2.822420115,0.003950038
2.743019791,0.003917991
2.742845625,0.003821347
2.733328334,0.003765582
2.74309444,0.00389301
2.732639659,0.003889225
2.822420115,0.003940954
2.733126312,0.003871562
2.822498486,0.003888216
5.253904037,0.004334689
5.108477267,0.004237678
5.476929064,0.004212173
5.820795162,0.005064935
5.74044023,0.00511125
5.792576246,0.005157722
5.352817459,0.004770458
1.185656028,0.004892192
5.384662889,0.004148021
5.348482906,0.004676107
5.794122068,0.004608668
5.344849245,0.004672195
5.32767141,0.004575653
5.080072064,0.004535128
5.564286823,0.003928963
2.741086935,0.003852136
5.661730386,0.004518855
5.605678803,0.004509779
5.0912182,0.003866688
5.695788442,0.004606165
4.874039691,0.004152402
5.812491546,0.004690659
4.802330822,0.004323737
5.540892407,0.004357691
5.745381622,0.004433735
5.698617598,0.004065717
5.173948494,0.004253951
5.58184886,0.004516977
4.977230987,0.003858238
5.730478099,0.004191832
5.759198344,0.004569551
5.478686914,0.004377093
5.618973888,0.004189485
2.901710956,0.004190424
5.09917545,0.00389141
5.800971677,0.004828822
5.392486851,0.004005007
5.824938768,0.004699421
4.772644712,0.004128305
5.704435226,0.004698482
4.782334497,0.004147395
5.950241825,0.00472117
5.739229519,0.004315287
2.741086935,0.003798623
5.196171766,0.004168205
3.824632711,0.00403192
5.725008964,0.004677046
2.741086935,0.003831482
5.19090924,0.004173995
5.691095197,0.00464982
5.540160456,0.004158661
5.550619244,0.004491785
5.236929611,0.003885464
4.076510568,0.003669692
3.753394531,0.003980911
5.722812994,0.004519481
5.763254296,0.004648412
4.4631916,0.003700673
3.508384407,0.003701925
5.628044223,0.004019089
5.587647548,0.004584885
4.664245487,0.004282585
4.862291759,0.004121264
5.138430687,0.004327648
5.157576332,0.004060241
5.178280816,0.003998279
5.588000553,0.004498201
5.597018498,0.004377562
5.582094185,0.004461743
4.801685592,0.004297606
5.736899863,0.004168988
5.404880245,0.004372712
2.742391814,0.003985135
5.244638759,0.004212486
5.347512968,0.00456736
5.738974948,0.004691598
5.954079431,0.004629792
5.736389832,0.004305273
5.552008891,0.004217024
5.523213803,0.003998122
5.853729018,0.004488656
5.727230673,0.0043422
4.069055311,0.003749179
5.910542576,0.004467845
4.877139363,0.004432014
4.89412511,0.003863715
5.208810788,0.00402879
5.811536374,0.004465498
5.899485058,0.004630261
5.757524199,0.004524801
4.171551068,0.003709279
4.313911305,0.004749335
5.635820522,0.004768111
5.641069858,0.00402128
5.524046633,0.004305742
5.590418312,0.004224535
5.031070934,0.003832734
5.286651809,0.004239399
5.537412252,0.004812549
5.070856439,0.003993428
3.185125667,0.004125645
5.682260431,0.004469723
5.658865116,0.004226882
5.792597179,0.004319981
5.805492772,0.004376936
5.445575556,0.004078704
5.35437107,0.004312001
5.65346855,0.004517759
5.825631393,0.004529495
5.582550566,0.004350962
5.606431549,0.003838523
5.595935846,0.004620873
5.016791066,0.003849945
2.741086935,0.003796432
5.194897104,0.004139258
5.13793887,0.003849319
5.650575552,0.004624785
4.135416297,0.003675012
4.305180598,0.004759036
5.936466847,0.00463386
5.680345213,0.004306838
5.832248181,0.00446409
5.604825767,0.004298858
5.769410139,0.004307151
4.843843039,0.003961821
5.712557122,0.004314661
5.678380976,0.004763887
2.884907766,0.004118291
5.150978245,0.004302457
5.238329063,0.004000939
5.088695693,0.003832421
5.85422534,0.004309967
5.601278677,0.004308872
5.032931147,0.003833516
5.571245495,0.004456893
5.268738901,0.004465185
5.757378085,0.004309654
5.658391289,0.004182131
4.902300623,0.004133625
5.032946536,0.003827883
5.164537154,0.004136598
4.969066463,0.003837115
5.522686501,0.00399734
5.424582645,0.004318729
4.135844599,0.003669692
4.243592194,0.004422626
5.397051321,0.004313722
5.402724691,0.004773901
5.772245898,0.005095916
5.477504764,0.004137694
5.309557592,0.004011735
5.306172489,0.00437678
5.208453344,0.004646534
5.039424822,0.003764982
5.035918949,0.00410108
5.739254154,0.004247692
5.201091138,0.004222344
2.741067793,0.003841183
2.741086935,0.003809263
5.693760944,0.004763574
5.645324763,0.004763574
5.161856431,0.003924112
4.866420373,0.003865749
5.094691815,0.003974652
5.476130832,0.00476686
5.626959895,0.004478642
5.118117282,0.005018776
4.945166963,0.004221562
5.362072862,0.004293538
5.744683918,0.004704428
5.743888696,0.00438476
4.93933428,0.004113754
5.704372333,0.004813175
5.152170101,0.004236113
5.806475525,0.004820685
5.861441227,0.00462322
5.656744501,0.004628384
5.589597093,0.00467642
5.281750165,0.004907057
4.891047466,0.004195744
5.36698417,0.004837115
5.547301975,0.004602879
5.859635998,0.005075106
4.614996471,0.0044619
5.65060357,0.004440776
5.917805075,0.004910656
5.776383173,0.004950086
4.887856397,0.004343139
5.602643218,0.004751682
5.346759964,0.004404788
5.582550779,0.004466281
4.861064704,0.004361602
5.531096732,0.004580347
5.843410555,0.004680175
5.955344803,0.004775153
4.62924047,0.004265999
6.019098326,0.004899703
5.536774757,0.004518542
5.222396492,0.004656705
5.815885657,0.004586293
5.629931167,0.004846816
5.739820436,0.004679236
5.728580478,0.00503192
4.861023305,0.003897356
5.846478757,0.004836176
5.850781751,0.00485417
5.796558806,0.004413081
3.824073859,0.004097168
5.980889934,0.004756846
5.772938314,0.004666875
5.303814681,0.004394148
5.929811541,0.004725708
5.320646477,0.003912064
4.86935388,0.004220623
5.755796819,0.004749804
4.341193027,0.004427476
5.861024214,0.004670161
2.867505104,0.004072289
5.214162414,0.004565326
5.834740391,0.004677359
5.710633702,0.004256924
5.676574231,0.004328431
5.139137993,0.004336724
5.631212302,0.004537631
5.506416646,0.00436348
5.746383216,0.00431028
5.626691945,0.004469097
5.56980284,0.004220623
5.854973936,0.005032859
5.777618424,0.004824597
4.0914741,0.004556877
5.211687976,0.004111876
5.759971019,0.004795807
5.079990735,0.004706462
5.114254515,0.003797528
5.538964854,0.004173056
5.204507198,0.004132374
4.876831812,0.003895791
5.405955047,0.004491785
5.758421742,0.004873416
4.885902987,0.00377218
5.812300474,0.004553591
5.895758251,0.004809419
5.678365259,0.004885933
5.06432668,0.0040798
5.691520528,0.004384447
2.923417905,0.004419653
5.763257642,0.004841965
5.556886417,0.004385542
5.8229434,0.004645908
5.112974936,0.003793929
5.168581062,0.004100297
5.594420114,0.004544985
5.953037365,0.00489626
4.81383622,0.003806603
5.36508861,0.004755907
5.746600534,0.004577531
5.68532119,0.004240807
5.095168342,0.004164606
6.006570864,0.004984353
5.35584745,0.004702394
5.558490339,0.004457831
5.782577804,0.005008919
5.757888869,0.004555625
4.802563667,0.004218589
5.827755321,0.005002816
5.543682552,0.004680019
5.708225429,0.004378345
5.267215799,0.004465342
5.116771756,0.003890315
5.199859282,0.004473635
5.912230864,0.004834298
5.650546973,0.00452746
5.341759783,0.004470975
4.01929291,0.004410264
5.180229083,0.004243937
5.729309544,0.004491316
2.741057486,0.003900172
5.685408329,0.004708496
5.779303977,0.004417462
5.11681969,0.00379878
4.827257741,0.003813801
4.796356566,0.004344078
5.106911911,0.003785323
5.498321142,0.004677828
5.727572976,0.004483336
4.303488571,0.004381943
5.809009654,0.004638711
5.8622347,0.004793147
5.89939725,0.004634017
5.189059823,0.00454655
5.603355291,0.004462525
5.303806863,0.004240338
5.895766403,0.005118604
5.109195376,0.004460022
5.5523174,0.005072602
5.606382696,0.004224847
4.982833428,0.004243937
5.2407545,0.004066187
5.700986587,0.004702081
5.560198087,0.004675638
5.852702847,0.00484619
5.106866984,0.003981849
5.740817065,0.005049757
5.027344834,0.004104522
5.004623478,0.004108747
5.116771756,0.004038179
5.061145208,0.004146612
4.372193898,0.004756846
5.005236599,0.004427633
4.94907307,0.004254107
5.652004848,0.004583477
5.71408045,0.004473478
5.865185496,0.004836176
5.162469542,0.004054765
5.175184696,0.004526365
4.301567487,0.004394774
5.823282233,0.004640275
5.543256401,0.004693319
4.623498602,0.004341574
4.4631916,0.003723674
5.711285432,0.004235644
5.14763536,0.003884056
5.325464782,0.004865436
5.567678002,0.004228603
5.555964887,0.004596307
5.036827972,0.003866062
5.668908893,0.004580817
5.697087683,0.004112033
5.103192467,0.004333594
5.66874466,0.004241433
5.144868809,0.003890158
5.304147043,0.004401502
5.721540737,0.004501956
3.657622958,0.004303239
5.181262617,0.003944297
5.924248602,0.004838054
5.879747941,0.004694727
5.113492148,0.003788453
3.432569544,0.003989986
3.89064932,0.004185417
5.606457415,0.004690502
4.876692885,0.003873103
5.712672057,0.004716163
5.707202563,0.00433422
5.77037313,0.004355813
5.647155583,0.004589423
4.924689414,0.003992802
5.213585054,0.004100297
5.095911512,0.003895322
5.632796168,0.004548584
5.571350238,0.004609607
5.281262857,0.004036301
5.240510136,0.004253012
5.632913975,0.00480363
5.272444554,0.004077296
4.072246607,0.003756063
5.219725869,0.004193866
5.957668897,0.004533876
5.445846738,0.004694258
5.965273908,0.004700203
5.409521172,0.004548427
5.809866497,0.004700829
5.95218321,0.00490424
5.6813017,0.004693788
5.527440034,0.004452511
5.761288893,0.004884838
5.695795194,0.004032702
5.86222969,0.00474824
5.870849236,0.004852918
5.395285448,0.003884682
5.478228709,0.004024722
5.106866984,0.003818338
5.149570207,0.004159756
5.77671008,0.004369895
5.603304781,0.00406071
